Designator,Mid X,Mid Y,Rotation,Layer
BT1,121.52,-71.59,90.0,bottom
C1,134.75,-67.815,90.0,bottom
C2,141.47,-67.82,90.0,bottom
D1,122.05,-88.58,270.0,bottom
D10,185.75,-88.58,90.0,bottom
D11,126.85,-99.19,90.0,bottom
D12,148.09,-99.2,90.0,bottom
D13,180.97,-99.18,90.0,bottom
D14,178.6,-109.81,90.0,bottom
D15,169.31,-99.2,90.0,bottom
D16,129.24,-109.81,90.0,bottom
D17,140.89,-109.81,90.0,bottom
D18,190.54,-99.21,270.0,bottom
D19,188.17,-109.81,90.0,bottom
D2,117.26,-99.2,270.0,bottom
D20,162.1,-109.81,90.0,bottom
D21,119.65,-109.81,90.0,bottom
D22,150.5,-109.81,90.0,bottom
D23,183.34,-109.81,270.0,bottom
D24,192.97,-109.81,270.0,bottom
D25,171.71,-109.81,90.0,bottom
D26,175.14,-77.96,90.0,bottom
D27,164.52,-88.58,270.0,bottom
D28,159.73,-99.18,270.0,bottom
D29,157.32,-109.81,270.0,bottom
D3,124.46,-109.81,270.0,bottom
D30,166.91,-109.81,270.0,bottom
D31,153.91,-69.98,270.0,bottom
D4,114.86,-109.81,270.0,bottom
D5,132.68,-77.96,90.0,bottom
D6,143.29,-88.58,90.0,bottom
D7,138.5,-99.2,270.0,bottom
D8,136.1,-109.81,270.0,bottom
D9,145.68,-109.81,270.0,bottom
R1,142.93,-67.39,270.0,bottom
R2,134.46,-72.8,270.0,bottom
R3,141.76,-72.8,270.0,bottom
R4,137.38,-72.8,270.0,bottom
R5,138.84,-72.8,270.0,bottom
R6,140.3,-72.8,270.0,bottom
R7,135.92,-72.8,270.0,bottom
SW1,146.46,-72.48,180.0,bottom
SW2,146.46,-67.36,180.0,bottom
TP1,135.335,-63.07,0.0,bottom
TP2,139.385,-63.07,0.0,bottom
TP3,143.435,-63.07,0.0,bottom
TP4,147.485,-63.07,0.0,bottom
U1,138.11,-68.19,0.0,bottom
